snapshot_date,dataset,location_id,name,provider_id,address_1,address_2,town,county,provider_postcode,organisation_name,brand_name,city,town,district,organisation_postcode,capacity,in-house,nursing_flag,domiciliary_flag,residential_flag,all_care_flag,nursing_client_count,nursing_chc_client_count,nursing_agreement_count,nursing_chc_agreement_count,domiciliary_client_count,domiciliary_chc_client_count,domiciliary_agreement_count,domiciliary_chc_agreement_count,residential_client_count,residential_chc_client_count,residential_agreement_count,residential_chc_agreement_count,all_client_count,all_chc_client_count,all_agreement_count,all_chc_agreement_count,%_of_the_registered_beds_we_buy,occupancy,not_inspected_yet,care_home_service_with_nursing,care_home_service_without_nursing,domiciliary_care_service,children_0-3_years,children_13-18_years,children_4-12_years,dementia,learning_disabilities_or_autistic_spectrum_disorder,mental_health,older_people,people_detained_under_the_mental_health_act,people_who_misuse_drugs_and_alcohol,people_with_an_eating_disorder,physical_disability,sensory_impairment,whole_population,younger_adults,standards_respecting,standards_respecting_levelofconcern,standards_respecting_compliant,standards_consent_to_care,standards_consent_to_care_levelofconcern,standards_consent_to_care_compliant,standards_fees,standards_fees_levelofconcern,standards_fees_compliant,standards_care_and_welfare,standards_care_and_welfare_levelofconcern,standards_care_and_welfare_compliant,standards_nutrition,standards_nutrition_levelofconcern,standards_nutrition_compliant,standards_cooperating,standards_cooporating_levelofconcern,standards_cooperating_compliant,standards_safeguarding,standards_safeguarding_levelofconcern,standards_safeguarding_compliant,standards_cleanliness,standards_cleanliness_levelofconcern,standards_cleanliness_compliant,standards_medicine,standards_medicines_levelofconcern,standards_medicines_compliant,standards_safety_premises,standards_safety_premises_levelofconcern,standards_safety_premises_compliant,standards_safety_equipment,standards_safety_equipment_levelofconcern,standards_safety_equipment_compliant,standards_requirments_workers,standards_requirments_workers_levelofconcern,standards_requirments_workers_compliant,standards_staffing,standards_staffing_levelofconcern,standards_staffing_compliant,standards_supporting_staff,standards_supporting_staff_levelofconcern,standards_supporting_staff_compliant,standards_quality_monitoring,standards_quality_monitoring_levelofconcern,standards_quality_monitoring_compliant,standards_complaints,standards_compliants_levelofconcern,standards_complaints_compliant,standards_other_incidents,standards_other_incidents_levelofconcern,standards_other_incidents_compliant,standards_records,standards_records_levelofconcern,standards_records_compliant,standards_managers,standards_managers_levelofconcern,standards_managers_compliant,standards_notifications,standards_notifications_levelofconcern,standards_notifications_compliant,major_concern,moderate_concern,minor_concern,location_compliance_status,meets_dcc_quality_threshhold,care_home_res_or_nurs,on_home_vacancies_list,new_style_cqc_report
01/02/2015,19,1-1000587219,Highlands Borders Care Home,1-101693962,22 Salutary Mount,Heavitree,Exeter,Devon,EX1 2QE,Highlands Care Home Limited,,Exeter,Exeter,Eastern,EX2 4LS,17,N,N,N,Y,Y,0,0,0,0,0,0,0,0,7,0,13,0,7,0,13,0,0,0,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Yes,Y,0,0
01/02/2015,19,1-1029276107,Clearbury,1-101657297,Burlescombe,,Tiverton,Devon,EX16 7JU,Cambian Signpost Limited,,Cullompton,Mid Devon,Eastern,EX15 3EE,4,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Yes,Y,0,0
01/02/2015,19,1-1032171002,Social Care Reablement - Civic Centre,1-101640000,Civic Centre,North Walk,Barnstaple,Devon,EX31 1EG,Devon County Council,Devon County Council,Exeter,North Devon,Northern,EX2 4QD,0,Y,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Yes,N,1,0
01/02/2015,19,1-1042267691,Willow House,1-101665011,Hillside,,South Brent,Devon,TQ10 9AY,Thurlestone Court Limited,,Totnes,South Hams,Southern,TQ9 5DA,30,N,N,N,Y,Y,0,0,0,0,0,0,0,0,14,5,27,1,14,5,27,1,0,0,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Respecting and involving people who use services,Compliant,Compliant,Consent to care and treatment,,,Fees,,,Care and welfare of people who use services,Compliant,Compliant,Meeting nutritional needs,,,Cooperating with other providers,,,Safeguarding people who use services from abuse,Compliant,Compliant,Cleanliness and infection control,,,Management of medicines,,,Safety and suitability of premises,,,"Safety, availability and suitability of equipment",,,Requirements relating to workers,,,Staffing,Compliant,Compliant,Supporting workers,,,Assessing and monitoring the quality of service provision,Compliant,Compliant,Complaints,,,Notification of other incidents,,,Records,,,Requirements relating to registered managers,,,Notifications – notice of changes,,,0,0,0,Compliant,Yes,Y,0,0
01/02/2015,19,1-1047240571,Select Home Care,1-1034194032,20 Courtenay Park,,Newton Abbot,Devon,TQ12 2HB,Select Home Care Limited,,Newton Abbot,Teignbridge,Southern,TQ12 2HB,0,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Yes,N,1,0
01/02/2015,19,1-1053860164,Polsloe,1-1024299668,5 Polsloe Road,,Exeter,Devon,EX1 2HL,Garland Support,,Exeter,Exeter,Eastern,EX1 2HL,0,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Yes,N,1,0
01/02/2015,19,1-106260202,Elmwood Residential Home Limited,1-101606599,Swan Hill Road,Colyford,Colyton,Devon,EX24 6QJ,Elmwood Residential Homes Limited,,Colyton,East Devon,Eastern,EX24 6QJ,38,N,N,N,Y,Y,0,0,0,0,0,0,0,0,9,0,14,0,9,0,14,0,0,0,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Respecting and involving people who use services,Compliant,Compliant,Consent to care and treatment,Compliant,Compliant,Fees,,,Care and welfare of people who use services,Compliant,Compliant,Meeting nutritional needs,Compliant,Compliant,Cooperating with other providers,,,Safeguarding people who use services from abuse,Compliant,Compliant,Cleanliness and infection control,,,Management of medicines,Compliant,Compliant,Safety and suitability of premises,Compliant,Compliant,"Safety, availability and suitability of equipment",,,Requirements relating to workers,Compliant,Compliant,Staffing,Compliant,Compliant,Supporting workers,Compliance,Compliant,Assessing and monitoring the quality of service provision,Compliant,Compliant,Complaints,Compliant,Compliant,Notification of other incidents,,,Records,,,Requirements relating to registered managers,,,Notifications – notice of changes,,,0,0,0,Compliant,Yes,Y,0,0
01/02/2015,19,1-106875865,Pinhay House Residential Care Home,1-101706804,Rousdon,,Lyme Regis,Dorset,DT7 3RQ,The Pinhay Partnership,,Lyme Regis,East Devon,Eastern,DT7 3RQ,25,N,N,N,Y,Y,0,0,0,0,0,0,0,0,5,5,7,1,5,5,7,1,0,0,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Respecting and involving people who use services,Compliant,Compliant,Consent to care and treatment,,,Fees,,,Care and welfare of people who use services,Compliant,Compliant,Meeting nutritional needs,,,Cooperating with other providers,,,Safeguarding people who use services from abuse,Compliant,Compliant,Cleanliness and infection control,Non Compliant Minor Impact,Non Compliant,Management of medicines,Compliant,Compliant,Safety and suitability of premises,,,"Safety, availability and suitability of equipment",,,Requirements relating to workers,Compliant,Compliant,Staffing,Compliant,Compliant,Supporting workers,Non Compliant Moderate Impact,Non Compliant,Assessing and monitoring the quality of service provision,Compliant,Compliant,Complaints,,,Notification of other incidents,,,Records,Non Compliant Moderate Impact,Non Compliant,Requirements relating to registered managers,,,Notifications – notice of changes,,,0,2,1,Non Compliant,No,Y,0,0
01/02/2015,19,1-106948093,Norwyn House,1-101627654,Charmouth Road,Raymonds Hill,Axminster,Devon,EX13 5ST,Miss B J Anning,,Axminster,East Devon,Eastern,EX13 5ST,5,N,N,N,Y,Y,0,0,0,0,0,0,0,0,5,0,4,0,5,0,4,0,0,0,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Respecting and involving people who use services,Compliant,Compliant,Consent to care and treatment,Compliant,Compliant,Fees,,,Care and welfare of people who use services,Compliant,Compliant,Meeting nutritional needs,,,Cooperating with other providers,,,Safeguarding people who use services from abuse,Compliant,Compliant,Cleanliness and infection control,,,Management of medicines,,,Safety and suitability of premises,Compliant,Compliant,"Safety, availability and suitability of equipment",,,Requirements relating to workers,,,Staffing,Compliant,Compliant,Supporting workers,Compliant,Compliant,Assessing and monitoring the quality of service provision,,,Complaints,,,Notification of other incidents,,,Records,Compliant,Compliant,Requirements relating to registered managers,,,Notifications – notice of changes,,,0,0,0,Compliant,Yes,Y,0,0
01/02/2015,19,1-107083100,Primrose House,1-101627717,2 Moor View,Western Road,Ivybridge,Devon,PL21 9AW,Mrs C A Nurse,,Ivybridge,South Hams,Southern,PL21 9AW,5,N,N,N,Y,Y,0,0,0,0,0,0,0,0,5,0,2,0,5,0,2,0,0,0,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Respecting and involving people who use services,Compliant,Compliant,Consent to care and treatment,,,Fees,,,Care and welfare of people who use services,Compliant,Compliant,Meeting nutritional needs,Compliant,Compliant,Cooperating with other providers,,,Safeguarding people who use services from abuse,Compliant,Compliant,Cleanliness and infection control,,,Management of medicines,,,Safety and suitability of premises,Compliant,Compliant,"Safety, availability and suitability of equipment",,,Requirements relating to workers,,,Staffing,Compliant,Compliant,Supporting workers,,,Assessing and monitoring the quality of service provision,Compliant,Compliant,Complaints,Compliant,Compliant,Notification of other incidents,,,Records,,,Requirements relating to registered managers,,,Notifications – notice of changes,,,0,0,0,Compliant,Yes,Y,0,0
